位置,实际,预测
40,公式,文本段
107,文本段,公式
128,三级标题,二级标题
132,三级标题,二级标题
204,文本段,二级标题
209,文本段,一级标题
229,表格,文本段
236,文本段,二级标题
240,文本段,二级标题
335,公式,文本段
350,公式,文本段
409,表格,文本段
416,表题,图题
543,公式,文本段
573,图题,单位
579,一级标题,文本段
633,一级标题,文本段
653,一级标题,文本段
685,文本段,图片
697,一级标题,文本段
713,一级标题,文本段
720,文本段,图片
763,公式,文本段
810,文本段,图题
834,三级标题,二级标题
843,三级标题,二级标题
851,三级标题,图题
855,三级标题,图题
915,三级标题,二级标题
920,三级标题,二级标题
922,三级标题,二级标题
950,文本段,二级标题
960,三级标题,文本段
971,三级标题,二级标题
978,三级标题,图题
993,三级标题,二级标题
1008,三级标题,二级标题
1019,三级标题,二级标题
1021,三级标题,二级标题
1024,文本段,图题
1025,文本段,图题
1026,文本段,图题
1027,文本段,图题
1029,文本段,图片
1031,文本段,图题
1034,文本段,图题
1039,二级标题,一级标题
1040,三级标题,二级标题
1042,三级标题,一级标题
1049,三级标题,二级标题
1053,二级标题,一级标题
1065,一级标题,二级标题
1147,公式,图片
1155,姓名,单位
1186,二级标题,一级标题
1190,单位,姓名
1191,姓名,单位
1197,二级标题,一级标题
1198,文本段,二级标题
1204,文本段,二级标题
1208,文本段,二级标题
1213,文本段,二级标题
1218,文本段,一级标题
1221,表格,图片
1222,表格,图片
1228,表格,图片
1229,表格,图片
1233,二级标题,一级标题
1255,图片,图题
1268,公式,表题
1272,公式,表题
1274,公式,表格
1300,二级标题,文本段
1310,一级标题,二级标题
1338,公式,单位
1374,一级标题,二级标题
1410,一级标题,二级标题
1412,公式,文本段
1484,一级标题,文本段
1488,文本段,二级标题
1496,文本段,二级标题
1521,文本段,一级标题
1525,论文名称,姓名
1532,文本段,中文摘要
1547,一级标题,二级标题
1659,图题,图片
1664,图题,图片
1672,图题,图片
1718,公式,文本段
1719,公式,文本段
1720,公式,文本段
1728,公式,文本段
1729,公式,文本段
1747,三级标题,二级标题
1834,公式,文本段
1836,公式,文本段
1838,公式,文本段
1840,公式,文本段
1841,公式,文本段
1843,公式,文本段
1862,公式,文本段
1867,公式,文本段
1876,表格,文本段
1881,公式,文本段
1883,公式,文本段
1885,公式,文本段
1887,公式,文本段
1889,公式,文本段
1891,公式,文本段
1894,公式,文本段
1899,公式,文本段
1908,公式,图片
1912,公式,文本段
1930,一级标题,二级标题
1938,文本段,公式
1939,文本段,公式
1940,文本段,公式
1982,表格,公式
1996,图题,表格
1999,一级标题,二级标题
2002,表题,表格
2068,图题,文本段
2071,文本段,图题
2092,文本段,图题
2354,三级标题,文本段
2372,一级标题,文本段
2379,一级标题,文本段
2497,文本段,图题
2501,文本段,图题
2513,单位,姓名
2516,中文关键词,一级标题
2524,二级标题,一级标题
2526,二级标题,一级标题
2617,图片,图题
2621,文本段,公式
2627,文本段,公式
2647,图片,图题
2685,单位,姓名
2689,一级标题,文本段
2691,二级标题,文本段
2693,二级标题,文本段
2695,一级标题,文本段
2696,二级标题,文本段
2698,二级标题,文本段
2700,二级标题,文本段
2704,单位,姓名
2705,姓名,单位
2711,一级标题,文本段
2764,文本段,二级标题
2766,文本段,图题
2769,文本段,一级标题
2806,一级标题,文本段
2830,二级标题,一级标题
2832,二级标题,一级标题
2834,一级标题,二级标题
2929,单位,姓名
2930,姓名,单位
3101,图片,图题
3123,公式,文本段
3145,二级标题,文本段
3153,文本段,公式
3213,公式,文本段
3215,公式,文本段
3271,中文关键词,论文名称
3296,中文关键词,中文摘要
3300,二级标题,一级标题
3322,公式,文本段
3333,论文名称,表题
3348,一级标题,文本段
3371,一级标题,二级标题
3392,表格,图题
3405,单位,姓名
3406,姓名,单位
3418,一级标题,二级标题
3458,文本段,图题
3567,表格,图片
3572,表格,图片
3584,单位,姓名
3589,二级标题,文本段
3593,一级标题,文本段
3594,二级标题,文本段
3596,二级标题,文本段
3598,一级标题,文本段
3600,一级标题,文本段
3601,二级标题,文本段
3603,二级标题,文本段
3605,二级标题,文本段
3639,文本段,公式
3672,一级标题,文本段
3701,一级标题,二级标题
3785,公式,文本段
3788,公式,文本段
3903,论文名称,图片
3904,一级标题,图题
3950,图题,文本段
3977,文本段,二级标题
4002,一级标题,文本段
4008,文本段,一级标题
4087,一级标题,二级标题
4100,单位,姓名
4117,图题,文本段
4178,一级标题,二级标题
4195,一级标题,文本段
4224,一级标题,三级标题
4306,单位,姓名
4307,姓名,单位
4308,文本段,中文摘要
4311,姓名,单位
4313,中文关键词,论文名称
4318,单位,姓名
4321,二级标题,一级标题
4326,二级标题,文本段
4328,二级标题,文本段
4340,表题,图题
4345,论文名称,姓名
4349,文本段,二级标题
4359,一级标题,文本段
4363,文本段,二级标题
4365,文本段,二级标题
4367,文本段,二级标题
4369,文本段,二级标题
4371,文本段,二级标题
4375,一级标题,文本段
4377,一级标题,二级标题
4387,一级标题,文本段
4404,图题,二级标题
4476,一级标题,二级标题
4531,一级标题,二级标题
4537,文本段,表题
4543,一级标题,文本段
4593,中文摘要,文本段
4666,三级标题,二级标题
4695,一级标题,二级标题
4702,一级标题,二级标题
4710,文本段,二级标题
4721,二级标题,一级标题
4850,文本段,二级标题
4887,图片,文本段
4890,图片,公式
4892,图片,文本段
4899,图片,文本段
4913,姓名,单位
4914,单位,姓名
4932,一级标题,二级标题
4935,一级标题,文本段
4971,一级标题,文本段
4985,一级标题,文本段
5022,一级标题,二级标题
5033,文本段,表格
5114,一级标题,二级标题
5180,文本段,二级标题
5227,二级标题,一级标题
5237,一级标题,二级标题
5270,公式,文本段
5280,一级标题,二级标题
5289,一级标题,三级标题
5293,文本段,图题
5303,表题,图题
5304,表题,图题
5315,姓名,单位
5318,中文关键词,论文名称
5363,图题,表题
5421,一级标题,二级标题
5431,公式,文本段
5455,公式,图片
5461,姓名,图片
5462,单位,文本段
5474,一级标题,二级标题
5479,图片,表格
5482,一级标题,二级标题
5486,图片,表格
5496,图片,表格
5498,图片,表格
5500,图片,表格
5501,一级标题,二级标题
5506,图片,表格
5509,图片,表格
5512,图片,表格
5599,文本段,表格
5628,一级标题,二级标题
5638,公式,文本段
5646,一级标题,姓名
5647,二级标题,一级标题
5653,二级标题,一级标题
5678,单位,姓名
5679,一级标题,单位
5681,文本段,一级标题
5688,单位,文本段
5691,单位,姓名
5694,姓名,单位
5703,二级标题,一级标题
5707,图片,表格
5708,二级标题,一级标题
5717,二级标题,一级标题
5723,二级标题,一级标题
5731,二级标题,一级标题
5823,图片,公式
5874,三级标题,二级标题
5901,一级标题,二级标题
5938,图题,图片
5943,图题,图片
5969,文本段,中文摘要
6008,二级标题,一级标题
6010,一级标题,文本段
6012,二级标题,文本段
6014,二级标题,一级标题
6051,一级标题,文本段
6062,一级标题,文本段
6077,姓名,单位
6085,公式,图片
6089,一级标题,二级标题
6125,公式,文本段
6129,公式,文本段
6160,单位,姓名
6161,姓名,单位
6183,邮箱,单位
6184,论文名称,一级标题
6185,中文摘要,文本段
6188,论文名称,图题
6249,一级标题,二级标题
6292,公式,文本段
6293,文本段,图题
6295,文本段,图题
6306,二级标题,一级标题
6371,表题,表格
6428,邮箱,公式
6431,单位,姓名
6432,姓名,单位
6589,文本段,公式
6630,一级标题,二级标题
6692,图题,图片
6700,姓名,单位
6740,二级标题,三级标题
6775,一级标题,二级标题
6807,表格,文本段
6902,公式,文本段
6985,一级标题,二级标题
7046,三级标题,二级标题
7081,论文名称,姓名
7084,公式,图片
7085,文本段,图题
7171,表题,图题
7237,一级标题,二级标题
7259,论文名称,图片
7415,二级标题,文本段
7417,三级标题,文本段
7419,三级标题,文本段
7421,三级标题,文本段
7423,一级标题,二级标题
7426,二级标题,文本段
7432,图题,图片
7479,文本段,公式
7507,文本段,公式
7522,二级标题,表题
7523,图题,表题
7524,图题,表题
7536,图题,图片
7540,图题,图片
7544,图题,图片
7548,图题,图片
7555,单位,姓名
7556,姓名,单位
7561,一级标题,文本段
7562,二级标题,文本段
7583,一级标题,文本段
7593,二级标题,文本段
7621,公式,文本段
7646,公式,图片
7656,一级标题,中文关键词
7657,二级标题,一级标题
7659,三级标题,二级标题
7661,三级标题,二级标题
7663,三级标题,二级标题
7665,三级标题,二级标题
7667,三级标题,一级标题
7670,三级标题,文本段
7672,三级标题,二级标题
7674,三级标题,文本段
7676,三级标题,文本段
7678,三级标题,文本段
7680,三级标题,二级标题
7682,三级标题,二级标题
7684,三级标题,二级标题
7686,三级标题,二级标题
7688,一级标题,二级标题
7694,二级标题,文本段
7696,二级标题,文本段
7698,一级标题,二级标题
7700,二级标题,文本段
7701,三级标题,二级标题
7703,三级标题,二级标题
7705,三级标题,二级标题
7708,三级标题,文本段
7710,三级标题,二级标题
7712,三级标题,二级标题
7714,三级标题,二级标题
7716,三级标题,二级标题
7719,三级标题,二级标题
7721,三级标题,文本段
7723,三级标题,一级标题
7726,三级标题,二级标题
7728,三级标题,二级标题
7730,三级标题,二级标题
7732,二级标题,一级标题
7733,三级标题,二级标题
7735,三级标题,二级标题
7737,三级标题,二级标题
7739,三级标题,二级标题
7741,二级标题,一级标题
7742,三级标题,二级标题
7744,三级标题,二级标题
7746,三级标题,一级标题
7750,姓名,单位
7753,中文关键词,论文名称
7754,论文名称,姓名
7756,单位,邮箱
7771,三级标题,二级标题
7828,图题,文本段
7845,二级标题,文本段
7847,二级标题,文本段
7849,二级标题,文本段
7853,一级标题,文本段
7859,一级标题,文本段
8027,三级标题,文本段
8038,三级标题,二级标题
8066,文本段,表题
8078,姓名,单位
8079,文本段,中文摘要
8089,一级标题,二级标题
8101,一级标题,文本段
8157,一级标题,文本段
8189,二级标题,文本段
8200,二级标题,文本段
8282,图片,文本段
8284,图片,图题
8291,图片,公式
8292,图题,文本段
8293,图片,公式
8294,图题,文本段
8298,图片,文本段
8299,图题,公式
8395,图题,图片
8408,姓名,单位
8410,姓名,单位
8415,一级标题,二级标题
8438,文本段,三级标题
8439,文本段,三级标题
8441,三级标题,二级标题
8447,一级标题,二级标题
8450,图片,图题
8458,公式,图片
8478,三级标题,二级标题
8483,一级标题,二级标题
8496,一级标题,文本段
8526,公式,文本段
8612,一级标题,二级标题
8627,图题,二级标题
8639,图题,二级标题
8644,图题,二级标题
8658,图题,二级标题
8692,论文名称,姓名
8693,一级标题,中文摘要
8694,文本段,单位
8707,二级标题,文本段
8711,二级标题,文本段
8713,二级标题,文本段
8715,二级标题,一级标题
8717,二级标题,一级标题
8719,二级标题,文本段
8721,二级标题,文本段
8726,单位,姓名
8745,一级标题,文本段
8827,邮箱,图题
8830,单位,姓名
8867,一级标题,文本段
8871,单位,姓名
8928,图片,二级标题
8929,图片,二级标题
8940,一级标题,文本段
8959,单位,姓名
8960,姓名,单位
8961,单位,中文摘要
8962,中文摘要,中文关键词
8963,中文关键词,论文名称
8964,一级标题,单位
8965,一级标题,二级标题
8966,文本段,一级标题
8967,一级标题,二级标题
8968,二级标题,文本段
8969,文本段,二级标题
8970,二级标题,文本段
8971,文本段,一级标题
8973,文本段,图片
8974,文本段,图题
8976,文本段,图片
8977,文本段,图题
8979,一级标题,图题
8980,二级标题,图片
8982,文本段,二级标题
8984,文本段,二级标题
8986,文本段,一级标题
8987,二级标题,文本段
8988,文本段,图题
8991,文本段,图片
8992,文本段,图题
8993,文本段,三级标题
8997,文本段,图片
8998,二级标题,一级标题
9000,一级标题,图片
9001,文本段,图题
9002,二级标题,图题
9003,文本段,图题
9004,文本段,二级标题
9005,文本段,二级标题
9010,二级标题,文本段
9012,二级标题,文本段
9014,二级标题,文本段
9087,二级标题,一级标题
9170,一级标题,二级标题
9213,姓名,单位
9214,文本段,单位
9216,单位,邮箱
9217,单位,一级标题
9218,单位,邮箱
9219,邮箱,一级标题
9220,论文名称,二级标题
9221,中文摘要,文本段
9222,中文关键词,二级标题
9223,一级标题,二级标题
9225,一级标题,二级标题
9227,一级标题,二级标题
9228,二级标题,文本段
9232,二级标题,三级标题
9247,单位,姓名
9254,一级标题,文本段
9321,表格,文本段
9350,一级标题,二级标题
9475,文本段,公式
9497,文本段,图题
9518,文本段,图题
9541,一级标题,二级标题
9546,一级标题,二级标题
9551,一级标题,二级标题
9611,文本段,公式
9614,文本段,公式
9622,公式,图片
9649,一级标题,二级标题
9659,文本段,一级标题
9675,文本段,图片
9700,一级标题,二级标题
9763,一级标题,二级标题
9801,姓名,单位
9808,一级标题,二级标题
9813,一级标题,二级标题
9835,图片,图题
9840,图片,图题
9845,文本段,图题
9950,一级标题,二级标题
9956,姓名,单位
9958,中文摘要,中文关键词
9962,一级标题,二级标题
10056,姓名,单位
10060,单位,姓名
10084,一级标题,二级标题
10094,论文名称,姓名
10125,三级标题,二级标题
10127,三级标题,二级标题
10148,图片,公式
10149,图片,图题
10171,文本段,图题
10193,姓名,图题
10203,一级标题,二级标题
10330,表题,表格
10381,文本段,图题
10439,文本段,二级标题
10455,中文关键词,单位
10463,文本段,一级标题
10467,文本段,一级标题
10469,文本段,一级标题
10471,文本段,一级标题
10496,表格,图片
10552,图片,表格
